instructor_id,name,specialization
1,Zaneta Hordell,Artificial Intelligence
2,Tynan Oiller,Artificial Intelligence
3,Thorvald Forrington,Frontend Development
4,Ardine MacTrusty,Frontend Development
5,Otho Rudyard,Machine Learning
6,Cal Klimaszewski,Backend Development
7,Grier Grabban,Artificial Intelligence
8,Carlee Harwood,Web Development
9,Florry Faulconbridge,Backend Development
10,Brittney Mooreed,Web Development
11,Hanson McCrillis,Web Development
12,Jamie Treace,Web Development
13,Michail Dawes,Machine Learning
14,Kristo Vink,Artificial Intelligence
15,Claudio Jendrys,Backend Development
16,Marianna Waterhowse,Artificial Intelligence
17,Bel Newsham,Artificial Intelligence
18,Ferrell Dallas,Artificial Intelligence
19,Merline Marsden,Machine Learning
20,Pancho Greatbanks,Web Development
21,Jacquenetta Perrottet,Machine Learning
22,Hogan Pleavin,Web Development
23,Arty Bibbie,Frontend Development
24,Idette Haslock,Frontend Development
25,Izzy Oselton,Backend Development
26,Maud Birbeck,Artificial Intelligence
27,Nerte Giovannilli,Web Development
28,Obidiah Springthorpe,Machine Learning
29,Westleigh Hartnup,Web Development
30,Shepperd Champerlen,Backend Development
31,Drusi Mocquer,Machine Learning
32,Rudolfo Horsley,Artificial Intelligence
33,Gussi Haffard,Artificial Intelligence
34,Lothaire Lowrie,Backend Development
35,Dominga Karlicek,Web Development
36,Chick Baynon,Artificial Intelligence
37,Chickie Bayldon,Backend Development
38,Kimmi MacMychem,Artificial Intelligence
39,Rock Battrick,Backend Development
40,Tannie Wanderschek,Backend Development
41,Tucker Brownlea,Machine Learning
42,Madeleine Lippiett,Backend Development
43,Gabrila Saggers,Backend Development
44,Madelyn Cusick,Artificial Intelligence
45,Nita Harvison,Frontend Development
46,Crystie Oxer,Frontend Development
47,Codie Ricker,Web Development
48,Tami Lazer,Machine Learning
49,Philippe Sowrey,Web Development
50,Harp Overstone,Web Development
51,Waverly Nyland,Machine Learning
52,Avivah Frew,Artificial Intelligence
53,Jacquenette Sabberton,Backend Development
54,Taffy Casin,Machine Learning
55,Susanne Sickling,Frontend Development
56,Charlot Di Iorio,Web Development
57,Andra Okie,Frontend Development
58,Adelaida Sivewright,Frontend Development
59,Farris Jedrys,Backend Development
60,Sibylle Gallifont,Backend Development
61,Rosemarie Andreutti,Artificial Intelligence
62,Pascale Janny,Backend Development
63,Creight Lambal,Machine Learning
64,Kermie Boutflour,Frontend Development
65,Fredericka Chaise,Machine Learning
66,Maurita Wasbrough,Machine Learning
67,Joycelin Isaacs,Frontend Development
68,Alix Ashcroft,Artificial Intelligence
69,Aylmar Tyas,Backend Development
70,Marianne Darco,Backend Development
71,Antonius Claydon,Artificial Intelligence
72,Mauricio Sills,Backend Development
73,Rosana Moffat,Backend Development
74,Christoph Beslier,Machine Learning
75,Blinni Kehoe,Machine Learning
76,Rawley Halbard,Machine Learning
77,Myrlene Beert,Backend Development
78,Mayor Paulazzi,Machine Learning
79,Ellissa Sallinger,Frontend Development
80,Trudi Gecks,Frontend Development
81,Chester Flageul,Artificial Intelligence
82,Jemimah Keynd,Web Development
83,Debbie Sunter,Backend Development
84,Brittney Needs,Backend Development
85,Yurik Jorio,Frontend Development
86,Ruthi Joanic,Frontend Development
87,Hannah Gillies,Web Development
88,Court O'Sculley,Web Development
89,Dick Doberer,Web Development
90,Gaston Mosedall,Machine Learning
91,Lincoln McTrustrie,Artificial Intelligence
92,Dara Ollington,Machine Learning
93,Edwin Creedland,Machine Learning
94,Domingo Roundtree,Machine Learning
95,Eleonore Claybourn,Web Development
96,Gaspar Lascelles,Artificial Intelligence
97,Bili Rodgers,Backend Development
98,Humfrey Gillebride,Artificial Intelligence
99,Lenci Candlin,Machine Learning
100,Silvie Menichelli,Artificial Intelligence
101,Hildegaard Baum,Frontend Development
102,Arabelle Count,Frontend Development
103,Aldis Boseley,Web Development
104,Tamqrah Bullocke,Frontend Development
105,Rockey Havis,Machine Learning
106,Shelly Handrik,Frontend Development
107,Clint Kennsley,Artificial Intelligence
108,Claudia Dyster,Frontend Development
109,Curtice Antoniutti,Machine Learning
110,Nedda Camin,Artificial Intelligence
111,Dana Shacklady,Frontend Development
112,Markus Darwent,Machine Learning
113,Marleen Domaschke,Backend Development
114,Magdalene McKeown,Backend Development
115,Derril Furzer,Backend Development
116,Ruddy Giabucci,Machine Learning
117,Wayland Hutcheon,Web Development
118,Daniella Hirthe,Machine Learning
119,Gilburt Jeroch,Machine Learning
120,Agata Kunrad,Frontend Development
121,Jacqueline Sim,Artificial Intelligence
122,Raymund Branche,Machine Learning
123,Larine Faircloth,Frontend Development
124,Leon Emburey,Artificial Intelligence
125,Zacharie Odcroft,Backend Development
126,Munmro Domanek,Backend Development
127,Roman Dorney,Frontend Development
128,Emmy Giovanni,Web Development
129,Karla Berford,Frontend Development
130,Datha Alvarado,Machine Learning
131,Melitta Aldiss,Web Development
132,Celinda Jayme,Web Development
133,Zacharia Bish,Artificial Intelligence
134,Obidiah Swiffen,Backend Development
135,Codie Tootell,Backend Development
136,Tommy Anglish,Machine Learning
137,Leoine Penhearow,Artificial Intelligence
138,Andy Siddens,Backend Development
139,Findlay Barthelet,Backend Development
140,Ximenes Ferronier,Machine Learning
141,Emlyn Havers,Machine Learning
142,Jere McGhee,Web Development
